"Date","Time","Open","High","Low","Close","Up","Down"
06/03/2025,15:00,73.72,73.77,72.66,73.41,5694928,5993514
06/03/2025,16:00,73.41,73.53,72.94,73.34,4185505,4186440
06/04/2025,10:30,73.42,74.26,72.71,73.76,9451112,8934144
06/04/2025,12:00,73.76,74.16,73.37,73.85,6362883,6395635
06/04/2025,13:30,73.85,74.13,73.36,74.06,4059643,3898111
06/04/2025,15:00,74.05,74.32,73.86,74.15,4394070,3987141
06/04/2025,16:00,74.14,74.29,73.77,73.87,4140414,3932895
06/05/2025,10:30,74.33,74.74,73.24,74.34,7638809,8366220
06/05/2025,12:00,74.33,75.65,73.37,75.55,10375281,9152034
06/05/2025,13:30,75.55,75.57,72.91,74.05,7941449,9125032
06/05/2025,15:00,74.05,74.21,72.38,73.15,5669299,6428192
06/05/2025,16:00,73.16,73.27,71.30,72.13,9458868,9547050
06/06/2025,10:30,73.91,74.94,73.77,74.16,8740775,8920383
06/06/2025,12:00,74.15,74.98,73.69,74.38,6267379,6567138
06/06/2025,13:30,74.38,74.65,73.54,74.20,4003851,4264377
06/06/2025,15:00,74.20,75.01,74.20,74.66,4897016,3994701
06/06/2025,16:00,74.66,74.78,74.16,74.19,3554547,3631676
